SAMPLEID,SC1,SC1_1,SC2,SC2A,SC3,SC3A,SC7,SC8_1,SC8_2,SC9,SC19,SC20,SC20A,SC20_1,SC20_2,SC20_3,SC21,SC22,SC23,SC24,SC25,SC25A,SC26,SC26A,SC26B,SC27A,SC27B,SC27C,SC27D,SC27E,SC27F,SC28,SC29,SC29A,SC30,SC31,SC32,SC33,SC33_1,SC33_2,SC33_3,SC34,SC35
3201000059-01,25,2,5,4,1,,2,3,3,3,1,5,5,1,5,5,1,1,1,5,1,5,5,5,5,1,5,1,1,5,5,1,5,1,5,5,5,5,5,5,5,5,5
3201000060-01,19,2,2,3,5,5,3,3,2,4,1,1,,1,5,5,1,1,5,5,1,1,5,5,5,1,5,1,5,5,5,1,5,5,5,5,1,5,1,,,1,5
3201000061-01,55,2,5,3,5,5,3,3,5,4,1,5,5,5,5,5,1,1,1,5,1,1,5,1,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000062-01,41,1,8,4,1,,1,5,3,4,1,5,1,1,5,1,1,1,1,5,5,,1,,,5,5,5,5,5,5,5,5,5,5,5,5,1,1,,,5,5
3201000064-01,66,2,9,3,4,5,3,3,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,1,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3201000065-01,36,1,16,4,5,5,2,4,3,3,1,1,,1,5,1,1,1,5,5,1,5,1,,,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5
3201000066-01,35,1,4,4,1,,1,2,2,3,1,5,1,5,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000068-01,18,1,18,4,5,5,3,4,3,3,1,5,5,5,5,5,5,1,5,5,5,,5,5,5,1,5,5,5,5,5,1,5,1,5,5,1,5,5,5,5,5,5
3201000070-01,27,2,27,4,2,5,3,2,1,3,1,5,5,5,5,5,1,1,1,5,5,,1,,,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1
3201000071-01,28,2,21,4,5,5,3,1,2,3,1,5,5,1,1,,1,1,5,5,1,5,5,1,,1,5,5,5,5,5,1,1,,5,5,5,5,5,5,5,5,5
3201000072-01,28,2,3,4,1,,2,3,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000073-01,34,1,3,4,1,,3,1,1,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5
3201000074-01,45,1,14,4,1,,3,4,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000076-01,38,1,1,3,5,5,1,1,2,1,1,1,,5,5,5,1,1,1,5,5,,5,5,5,5,5,5,5,1,5,1,1,,5,1,1,5,5,5,5,5,5
