SAMPLEID,SC1,SC1_1,SC2,SC2A,SC3,SC3A,SC7,SC8_1,SC8_2,SC9,SC19,SC20,SC20A,SC20_1,SC20_2,SC20_3,SC21,SC22,SC23,SC24,SC25,SC25A,SC26,SC26A,SC26B,SC27A,SC27B,SC27C,SC27D,SC27E,SC27F,SC28,SC29,SC29A,SC30,SC31,SC32,SC33,SC33_1,SC33_2,SC33_3,SC34,SC35
3206002929-01,49,1,16,4,1,,1,4,3,3,1,1,,1,5,5,1,1,1,5,5,,5,5,5,5,5,1,5,5,1,1,1,,5,5,1,5,5,5,1,5,5
3206002929-02,48,2,16,4,1,,3,4,3,3,1,1,,1,1,,1,1,1,5,5,,5,5,5,1,5,5,1,5,8,1,1,,1,5,5,5,5,5,5,5,5
3206002930-01,25,1,2,4,1,,3,1,1,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,,,5,5
3206002931-01,48,1,24,4,5,5,1,4,4,3,1,5,5,5,5,5,1,1,1,5,5,,5,5,5,1,1,5,5,5,5,1,1,,5,5,5,5,5,5,5,5,5
3206002932-01,47,1,13,4,1,,3,3,3,2,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,5,1,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5
3206002933-01,32,1,5,3,5,5,1,3,3,5,1,1,,1,5,1,1,1,1,5,5,,5,5,5,5,5,5,5,5,5,5,1,,5,5,5,5,5,5,5,5,5
3206002935-01,51,2,17,4,1,,1,4,3,2,1,1,,1,5,5,1,1,1,5,5,,5,5,5,5,5,5,5,5,5,5,1,,5,5,5,5,5,5,5,5,5
3206002938-01,23,2,23,4,5,5,3,2,1,3,1,1,,1,5,5,1,1,1,5,1,1,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,5,1
3206002939-01,39,2,39,4,1,,3,3,2,3,1,5,1,5,5,5,1,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5
3206002941-01,72,1,55,4,1,,1,3,3,2,1,5,5,5,5,5,1,1,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3206002942-01,67,1,37,4,1,,1,4,3,1,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,1,5,5,5,5,5,5
3206002943-01,54,1,23,4,1,,1,3,3,3,1,5,5,1,1,,1,1,1,5,1,5,1,,,5,1,5,5,1,5,1,5,5,5,5,8,5,1,,,5,1
3206002944-01,57,2,37,4,5,5,3,4,3,3,1,5,5,5,5,5,1,1,1,5,1,1,1,,,1,5,5,5,5,8,1,1,,5,5,5,5,5,5,5,1,5
3206002945-01,77,2,3,4,4,5,3,3,3,3,1,5,5,5,5,5,1,1,5,5,1,5,1,,,1,5,1,5,5,5,1,5,5,5,5,8,1,5,5,5,5,5
3206002947-01,36,2,25,4,5,5,3,2,1,1,1,1,,5,5,5,1,1,1,5,5,,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3206002948-01,25,1,21,4,5,5,3,3,2,1,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,1,,5,5,5,1,1,,,5,5
3206002949-01,26,2,6,4,5,5,3,2,3,3,1,5,5,1,1,,1,1,5,1,1,1,1,,,1,5,1,1,1,8,1,5,5,5,5,1,1,1,,,5,5
3206002950-01,24,1,18,3,5,5,1,1,1,3,1,1,,1,1,,5,5,5,1,5,,1,,,1,1,5,5,5,8,1,5,1,5,8,1,5,5,5,1,5,5
3206002951-01,58,2,23,4,1,,3,3,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3206002951-02,62,1,23,4,1,,3,4,3,2,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3206002955-01,65,1,28,4,1,,3,4,3,4,1,1,,5,5,5,5,5,5,5,5,,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3206002957-01,21,1,10,3,2,5,3,1,3,2,1,5,1,1,5,5,1,1,1,5,1,1,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
3206002958-01,69,1,45,4,1,,2,3,1,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3206002960-01,43,2,35,4,1,,3,2,1,3,1,1,,5,5,5,1,1,5,5,1,5,1,,,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,8,5
3206002961-01,28,2,45,3,5,1,2,5,3,1,1,5,1,1,5,1,1,1,1,1,1,5,5,1,,1,5,1,1,1,5,1,1,,5,5,5,5,5,5,5,5,1
3206002962-01,39,2,1,4,2,1,2,4,3,2,1,5,5,5,1,,1,1,1,5,1,5,5,5,5,1,1,5,5,1,5,1,5,5,5,5,5,5,5,5,5,8,5
3206002963-01,24,2,21,4,5,5,1,3,1,3,1,5,1,1,5,1,1,1,1,5,1,5,5,5,5,1,5,5,5,5,5,1,5,1,5,5,5,1,1,,,5,5
3206002964-01,48,2,3,4,2,1,3,2,3,1,1,5,5,5,5,5,1,1,5,5,1,5,5,5,5,5,1,5,1,5,5,1,5,5,5,5,5,1,5,5,1,5,5
3206002965-01,57,1,20,4,1,,2,4,3,3,1,5,1,1,5,1,1,1,5,1,1,1,1,,,1,5,1,1,1,1,1,1,,1,1,1,1,1,,,1,1
3206002966-01,28,1,25,4,5,5,2,1,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5
3206002969-01,18,1,18,4,5,5,3,3,3,4,1,1,,1,1,,1,1,1,5,5,,1,,,5,1,1,5,5,5,1,1,,1,1,1,1,1,,,5,1
3206002970-01,56,1,32,4,1,,1,3,3,3,1,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3206002971-01,45,2,4,4,1,,3,4,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,5,5,5,5,5,1,5,5,5,8,5,5,5,5,5,5,5
3206002973-01,48,2,15,4,1,,2,4,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3206002974-01,68,2,27,4,1,,3,4,3,3,1,1,,5,5,5,1,1,1,5,1,1,1,,,1,1,1,1,1,1,1,1,,1,5,5,5,5,5,5,5,5
3206002975-01,19,2,9,4,5,5,3,3,3,4,1,5,1,5,1,,1,1,1,5,1,5,1,,,5,5,1,5,5,5,1,1,,1,5,5,5,5,5,5,5,5
3206002978-01,69,1,23,4,1,,2,1,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5
3206002979-01,43,1,43,4,5,5,1,4,5,4,1,1,,1,5,5,1,1,1,1,1,5,1,,,1,1,5,1,1,5,1,1,,1,5,5,1,1,,,5,1
3206002981-01,78,2,28,4,4,5,3,4,3,4,1,5,5,5,1,,5,5,5,5,5,,1,,,5,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3206002982-01,40,1,20,4,5,5,1,3,3,3,1,1,,1,5,5,1,1,5,5,1,5,1,,,5,5,5,5,5,8,5,5,5,5,5,5,5,5,5,5,5,5
3206002986-01,57,2,14,4,1,,3,3,4,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3206002988-01,40,2,6,4,1,,3,3,3,3,1,5,5,5,5,5,1,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3206002989-01,55,1,3,1,5,1,2,4,1,4,1,5,5,5,1,,1,5,5,5,1,5,1,,,5,5,1,5,5,8,1,5,5,5,5,5,5,5,5,5,5,5
3206002989-02,75,2,40,4,4,1,2,4,1,2,1,5,5,5,5,5,1,1,5,5,1,5,1,,,1,5,5,5,1,1,1,5,1,5,8,5,5,5,5,5,5,5
3206002992-01,38,1,11,4,1,,3,4,4,4,1,5,5,5,5,5,1,1,5,5,5,,1,,,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5
3206002992-02,32,2,12,4,1,,2,3,2,2,1,5,5,5,5,5,1,5,5,5,5,,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5
3206002993-01,27,1,12,4,5,1,1,4,3,4,1,5,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3206002994-01,67,1,37,4,1,,2,4,3,2,1,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5
3206002994-02,62,2,37,4,1,,3,3,3,2,1,5,5,5,5,5,5,1,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3206002995-01,39,2,2,3,5,5,1,4,4,4,1,5,1,1,5,5,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,1,,1,5,5,5,5,5,5,5,5
3206002996-01,22,2,22,4,1,,3,3,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3206002997-01,38,2,9,4,2,1,2,4,3,3,1,5,1,1,5,5,5,1,5,5,5,,5,5,5,1,1,5,1,1,5,1,1,,1,5,5,5,1,,,5,5
3206002998-01,46,2,15,4,1,,3,4,4,5,1,1,,5,1,,1,1,1,5,1,5,1,,,1,1,1,1,1,1,1,1,,1,5,5,5,5,5,5,5,5
3206002999-01,41,2,7,4,1,,3,2,2,3,1,5,5,5,5,5,1,1,1,5,5,,5,5,5,1,1,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3206003000-01,18,2,11,4,5,5,3,4,3,3,1,1,,1,5,5,1,1,1,5,5,,5,5,5,1,1,1,5,1,5,1,1,,5,5,5,5,5,5,5,5,1
3207003001-01,28,1,21,4,5,5,3,2,3,1,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3207003003-01,47,1,4,4,3,1,1,3,3,3,1,1,,1,5,1,5,5,5,5,5,,5,5,5,5,5,1,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5
3207003004-01,38,1,1,3,1,,3,3,2,4,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5
3207003007-01,24,1,25,4,5,5,3,4,4,4,1,1,,1,1,,1,1,1,5,1,5,1,,,5,5,5,5,5,5,5,1,,5,1,1,5,1,,,1,1
3207003008-01,39,2,7,3,1,,1,4,3,3,1,1,,5,1,,1,1,1,5,1,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,1
3207003011-01,32,2,32,4,5,5,1,4,1,1,1,1,,5,5,5,1,1,1,1,5,,1,,,1,1,5,1,1,1,1,5,5,1,5,5,5,5,5,5,5,5
3207003012-01,26,2,2,4,5,5,1,3,4,2,1,1,,1,1,,1,1,1,5,1,1,1,,,5,5,5,5,5,5,5,1,,1,5,5,5,5,5,5,5,5
3207003013-01,68,2,35,4,4,5,1,3,1,2,1,5,5,5,5,5,5,5,5,5,5,,1,,,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3207003014-01,29,1,11,4,1,,3,3,1,3,1,5,5,5,5,5,5,1,5,5,5,,1,,,5,5,1,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5
3207003015-01,23,1,2,4,5,1,1,4,2,2,1,5,5,5,5,5,5,5,5,5,1,1,1,,,5,5,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3207003016-01,60,1,30,4,1,,1,3,4,3,1,5,5,1,1,,1,1,1,5,1,5,1,,,5,5,5,5,5,5,5,5,5,5,1,5,1,1,,,5,5
3207003016-02,60,2,28,4,1,,1,5,3,5,1,1,,1,1,,1,1,1,5,1,1,1,,,1,5,5,1,1,5,1,1,,1,5,5,5,5,5,5,5,5
3207003017-01,37,2,10,4,2,5,3,4,3,4,1,5,5,1,5,5,1,1,1,5,5,,1,,,1,5,5,1,5,5,1,5,5,5,5,5,1,1,,,5,5
3207003018-01,51,1,12,4,1,,2,3,3,3,1,5,5,5,5,5,5,5,5,5,5,,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3207003018-02,53,2,16,4,1,,3,1,1,1,1,5,1,5,5,5,5,5,5,5,5,,5,1,,5,5,5,5,5,5,5,1,,5,5,5,5,5,5,5,5,5
3207003019-01,50,2,5,4,1,,2,1,2,2,1,5,1,5,5,5,5,5,5,5,5,,5,8,1,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3207003021-01,51,2,30,4,1,,3,3,1,2,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3207003026-01,70,1,4,4,1,,3,5,4,5,1,5,5,5,5,5,1,1,1,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,5,5,5,5,5,5
3207003027-01,69,1,14,4,1,,1,3,4,3,1,5,5,5,5,5,1,5,5,5,5,,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5
3207003028-01,54,2,22,4,2,5,2,4,4,3,1,1,,5,5,5,1,1,1,5,5,,1,,,1,1,5,5,5,5,1,1,,5,1,5,5,5,5,5,5,1
3207003029-01,28,1,1,4,5,5,3,3,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5
3207003030-01,26,1,4,3,1,,2,3,2,3,1,1,,1,5,5,1,1,5,5,5,,1,,,1,1,5,1,1,5,1,5,1,5,1,1,1,1,,,1,5
3207003031-01,23,2,29,3,1,,3,3,3,2,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3207003032-01,46,2,15,4,1,,2,4,3,4,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3207003034-01,33,2,11,3,1,,3,4,4,4,1,1,,5,5,5,1,1,5,5,1,1,1,,,1,5,5,5,5,1,1,1,,1,5,5,5,5,5,5,5,1
3207003036-01,71,1,13,3,1,,2,4,3,4,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3207003037-01,56,2,20,4,4,5,3,2,3,3,1,5,5,5,5,5,1,5,5,5,5,,1,,,1,5,5,1,1,5,1,5,1,5,5,5,5,5,5,5,5,5
3207003038-01,78,2,51,4,4,5,3,4,3,1,1,1,,5,5,5,1,1,1,5,5,,5,5,5,5,1,5,1,5,5,1,1,,5,5,5,5,5,5,5,5,5
3207003042-01,22,1,22,4,5,5,1,3,2,2,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3207003043-01,30,2,5,4,5,5,3,3,1,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3207003044-01,44,2,20,4,5,1,3,5,3,2,1,1,,1,5,1,1,1,5,5,5,,1,,,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3207003045-01,22,2,2,4,2,5,1,5,3,5,1,1,,1,1,,1,1,5,5,1,5,5,5,1,5,5,1,5,1,1,1,1,,5,1,5,5,1,,,5,1
3207003048-01,32,2,2,4,1,,3,2,2,3,1,1,,5,5,5,5,5,5,5,5,,5,1,,1,5,5,5,5,5,1,1,,1,5,5,5,5,5,5,5,5
3207003050-01,75,1,20,4,1,,2,3,2,2,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5
3207003051-01,58,2,10,4,2,5,2,1,2,4,1,5,5,5,5,5,5,5,5,5,1,5,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3207003055-01,41,2,11,4,1,,3,3,2,1,1,5,5,1,1,,1,1,1,5,1,1,1,,,1,1,1,1,1,5,1,5,1,5,5,5,5,5,5,5,5,5
3207003056-01,48,2,27,4,1,,3,2,3,3,1,5,5,5,5,5,5,5,5,5,5,,1,,,1,1,1,5,1,1,1,1,,1,5,1,5,5,5,5,5,5
3207003057-01,34,2,1,3,5,5,1,4,2,4,1,5,5,1,1,,1,1,1,5,1,5,1,,,1,1,5,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5
3207003058-01,74,2,27,4,2,5,3,5,2,4,1,5,5,5,5,5,1,1,1,5,5,,1,,,5,5,5,5,5,5,5,1,,5,5,5,5,5,5,5,5,5
3207003059-01,35,2,13,4,1,,2,3,4,4,1,5,5,1,5,5,1,1,1,1,5,,1,,,1,1,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5
3207003060-01,52,2,21,4,1,,1,5,5,3,1,1,,1,5,1,1,1,1,5,1,5,5,5,5,1,5,1,5,1,8,1,1,,1,8,8,5,5,5,5,5,5
3207003061-01,66,1,38,4,1,,2,4,1,3,1,5,1,5,5,5,1,1,1,5,1,1,1,,,1,1,5,5,5,1,1,5,5,1,1,1,1,5,5,5,5,5
3207003061-02,58,2,38,4,1,,3,4,3,4,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,1,1,1,1,5,1,5,5,1,1,5,5,5,5,5,5,5
3207003062-01,20,1,3,4,5,1,3,4,1,4,1,5,5,5,5,5,1,1,1,5,5,,1,,,5,5,1,5,1,1,1,1,,5,5,5,5,5,5,5,5,5
3207003064-01,57,1,22,4,3,1,2,5,4,2,1,1,,5,1,,1,1,1,5,1,1,1,,,1,1,5,5,1,1,1,1,,5,1,1,1,5,5,5,1,1
3207003067-01,61,2,40,4,2,5,3,2,3,1,1,5,5,5,5,5,1,1,1,5,5,,1,,,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3207003068-01,56,2,8,4,1,,2,4,2,4,1,1,,1,5,5,1,1,5,5,1,5,1,,,1,1,1,1,1,1,1,5,5,5,5,5,1,5,5,5,1,1
3207003069-01,26,2,5,4,5,1,3,3,1,3,1,5,5,1,1,,1,1,1,5,1,1,1,,,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1
3207003071-01,42,2,8,4,1,,2,3,1,2,1,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3207003072-01,26,2,20,4,5,5,3,3,3,3,1,1,,1,5,1,1,1,1,5,1,1,5,1,,1,1,5,1,1,5,1,5,5,5,1,5,5,1,,,5,5
3207003074-01,59,1,10,4,1,,2,3,2,1,1,5,5,5,5,5,1,1,1,5,5,,1,,,5,1,5,5,1,8,1,5,5,5,1,5,5,5,5,5,5,5
3207003076-01,36,1,36,4,5,1,1,1,1,3,1,5,5,5,5,1,5,5,5,5,5,,1,,,1,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3207003076-02,30,2,12,4,5,1,3,1,1,4,1,1,,1,1,,5,1,1,5,5,,5,1,,1,5,5,1,1,5,1,5,5,5,1,1,5,5,5,5,5,5
3207003078-01,76,1,45,4,4,5,2,4,3,3,1,1,,5,5,5,1,1,5,5,5,,5,5,5,5,1,1,5,1,5,1,1,,5,5,5,5,5,5,5,5,5
3207003079-01,20,2,20,4,5,5,3,1,1,3,1,5,5,5,5,5,5,5,5,5,5,,1,,,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3207003080-01,21,2,1,4,5,1,3,4,3,2,1,1,,5,5,5,5,1,5,5,1,5,1,,,1,1,1,5,5,1,1,5,1,5,5,5,5,1,,,5,5
3207003082-01,28,2,3,4,1,,3,2,3,1,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5
3207003083-01,64,2,35,4,4,5,3,4,4,4,1,5,1,5,5,5,1,1,1,5,5,,1,,,1,5,5,1,1,1,1,5,5,1,5,5,5,5,5,5,5,1
3207003084-01,38,2,13,4,5,1,3,3,3,2,1,5,5,5,5,5,5,5,5,5,5,,1,,,1,1,1,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5
3207003086-01,32,1,3,4,1,,3,3,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3207003087-01,33,1,8,3,1,,2,3,2,3,1,5,5,5,5,5,5,1,5,5,5,,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3207003088-01,44,1,10,4,1,,1,3,3,3,1,1,,1,1,,1,1,1,5,5,,1,,,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3207003090-01,22,1,5,4,5,5,2,1,1,1,1,5,1,5,5,1,5,1,5,5,5,,1,,,5,5,5,5,5,5,5,5,1,5,5,5,5,1,,,5,5
3207003091-01,50,2,1,4,1,,3,3,2,3,1,1,,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3207003091-02,51,1,3,4,1,,3,3,3,3,1,1,,5,5,5,1,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3207003092-01,69,2,32,4,4,5,2,3,3,3,1,5,5,5,5,5,1,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,5,5,5,5,5,5
3207003093-01,65,2,56,4,5,5,3,2,1,1,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3207003094-01,80,1,3,3,1,,2,3,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3207003095-01,19,2,6,3,5,5,3,3,2,2,1,5,5,5,5,5,1,5,5,5,5,,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3207003096-01,28,2,3,4,1,,3,3,3,4,1,1,,1,1,,1,1,1,5,1,5,1,,,1,5,1,5,5,1,1,5,5,5,5,5,5,1,,,5,5
3207003100-01,38,1,33,4,5,5,3,5,3,4,1,5,1,1,1,,1,1,1,5,5,,5,5,5,5,5,5,5,5,5,5,1,,1,5,5,5,5,5,5,5,5
3207003102-01,21,1,21,4,5,5,1,4,3,3,1,5,5,1,1,,1,1,1,5,1,5,5,1,,5,5,5,1,5,5,1,5,5,5,5,5,5,1,,,5,5
3207003104-01,42,2,23,4,1,,1,4,4,4,1,5,5,5,1,,1,1,1,5,1,1,8,1,,5,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5
3207003106-01,35,2,19,4,1,,3,4,2,3,1,5,5,5,5,5,5,5,5,5,1,5,1,,,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5
3207003107-01,39,2,25,4,5,1,1,3,1,1,1,1,,1,1,,1,1,1,5,1,1,1,,,1,5,5,5,5,1,1,1,,5,8,5,1,5,5,5,8,5
3207003108-01,53,2,24,4,5,1,1,5,3,2,1,5,1,5,5,5,1,1,1,5,1,1,1,,,5,1,5,5,5,1,1,5,1,5,1,5,5,5,5,5,1,1
3207003109-01,59,1,20,4,2,5,1,5,4,4,1,1,,1,1,,1,1,1,5,1,5,1,,,1,5,1,1,5,8,1,1,,5,1,5,5,1,,,1,5
3207003110-01,39,1,2,4,1,,3,2,2,3,1,5,5,1,5,5,1,1,5,5,1,5,5,1,,1,5,5,5,5,1,1,5,1,5,5,1,5,5,5,5,1,5
3207003111-01,58,1,12,4,1,,2,4,4,2,1,1,,5,1,,1,1,5,5,1,1,1,,,5,1,5,1,5,5,1,5,1,5,5,1,1,1,,,5,5
3207003112-01,20,1,8,4,5,5,3,1,1,3,1,5,5,5,5,5,5,5,5,5,5,,1,,,5,5,5,5,5,8,5,5,1,5,5,5,5,1,,,8,5
3207003113-01,28,1,18,4,5,5,2,4,3,4,1,5,5,5,5,5,1,1,1,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3207003114-01,44,1,6,3,5,1,1,4,4,4,1,1,,5,5,5,1,1,1,5,5,,1,,,1,5,1,5,1,5,1,5,1,5,1,5,5,5,5,5,5,5
3207003114-02,43,2,6,3,3,1,1,5,4,4,1,1,,1,1,,1,1,1,5,1,1,1,,,1,1,5,5,1,8,1,1,,1,1,5,5,5,5,5,5,5
3207003115-01,42,1,7,3,3,5,2,4,1,3,1,1,,1,1,,1,1,5,5,5,,1,,,5,5,1,5,5,1,1,5,1,5,1,1,5,1,,,1,1
3207003116-01,37,2,6,4,1,,3,4,3,2,1,5,5,5,5,5,1,1,1,5,5,,5,5,1,1,1,1,5,1,1,1,5,1,5,5,5,5,5,5,5,5,5
3207003117-01,21,2,10,4,5,5,3,3,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,5,5,1,5,5
3207003118-01,40,2,10,4,1,,2,4,3,3,1,5,5,5,5,5,1,1,5,5,1,5,5,5,5,1,1,5,5,5,8,1,5,5,5,5,5,5,5,5,5,5,5
3207003119-01,59,2,6,4,1,,3,4,3,4,1,5,1,5,5,5,1,1,1,5,1,5,1,,,1,1,5,1,1,5,1,1,,5,5,5,5,5,5,5,5,1
3207003120-01,35,2,6,4,1,,3,5,3,3,1,1,,1,5,5,1,1,1,5,1,1,1,,,1,1,5,1,1,8,1,1,,1,8,8,5,5,5,5,5,5
3207003120-02,40,1,6,4,1,,3,4,3,4,1,5,5,5,5,5,1,1,5,5,1,5,1,,,5,1,5,5,5,5,1,1,,5,5,1,1,5,5,5,5,5
3207003121-01,75,1,40,4,1,,2,5,3,4,1,5,5,5,5,5,5,1,5,5,1,5,1,,,5,1,5,5,1,5,1,5,5,5,5,5,5,1,,,1,5
3207003122-01,44,1,38,4,5,5,3,3,3,4,1,5,5,5,1,,5,5,1,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3207003123-01,22,2,22,4,5,5,1,1,2,3,1,1,,5,5,5,1,1,1,5,5,,1,,,1,5,1,5,1,1,1,1,,5,5,5,5,5,5,5,5,1
3207003124-01,48,1,16,4,1,,3,1,1,3,1,5,5,5,5,5,5,5,5,5,5,,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3207003125-01,40,1,10,4,5,1,3,1,1,4,1,1,,5,5,5,1,5,5,5,5,,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3207003125-02,56,2,9,4,2,1,3,1,4,3,1,1,,5,1,,1,1,5,5,5,,1,,,1,1,1,5,5,5,1,1,,5,1,5,5,5,5,5,5,5
3207003126-01,33,1,18,3,1,,3,2,2,2,1,1,,5,5,5,1,1,1,5,1,5,1,,,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3207003127-01,36,2,32,4,5,5,3,4,1,2,1,5,5,5,5,5,5,1,5,5,1,5,1,,,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5
